Movie ID,Genre IDs,Popularity
1190868,"[27, 878, 53]",72.631
68726,"[28, 878, 12]",72.495
35,"[16, 35, 10751]",72.47
11635,[35],72.414
652,"[12, 36, 10752]",72.362
283995,"[878, 12, 28]",72.306
930094,"[35, 10749]",72.303
11324,"[18, 53, 9648]",72.292
27098,"[18, 10749, 10752]",72.262
529203,"[16, 10751, 12, 14, 35]",72.237
329865,"[18, 878, 9648]",72.176
988078,"[10749, 18, 35]",72.137
333339,"[12, 28, 878]",72.094
112160,"[35, 18, 10749]",72.088
11155,[35],17.63
18438,"[18, 35, 10749]",17.629
8974,"[878, 28]",17.628
560192,[53],17.627
474498,"[16, 10751]",17.624
20077,"[16, 28, 14, 9648]",17.624
353576,"[35, 80]",17.622
152742,"[18, 10749, 80]",17.62
959395,"[18, 36]",17.616
26550,[18],17.616
1211728,[27],17.615
22825,"[53, 878]",17.614
1376745,[99],17.611
364733,"[18, 10749]",17.611
10452,"[18, 36, 10749]",17.61
991708,"[14, 35, 27]",17.608
17664,"[37, 10752]",17.608
489999,"[18, 9648, 53]",17.605
36245,"[18, 35, 80]",17.605
58433,"[18, 10770]",17.604
753453,"[27, 53]",24.084
1259112,"[27, 14]",24.081
55241,"[878, 12, 10770]",24.081
33196,"[28, 18, 53]",24.079
942,"[28, 12, 35, 80, 53]",24.077
10377,[35],24.073
2043,"[80, 9648, 53, 28]",24.071
10017,"[28, 878]",24.068
3603,"[27, 35]",24.066
11005,[18],24.056
1389305,"[18, 80, 10751]",24.055
1574,"[35, 80, 18]",24.055
454652,"[18, 36]",24.049
1307178,[27],24.048
284289,[53],24.046
713607,[10749],24.044
2140,"[28, 80, 53]",24.042
9489,"[35, 10749]",24.039
301502,[18],24.037
6947,"[18, 9648, 53]",24.033
11467,"[35, 10749]",16.912
1053110,"[10749, 35]",16.91
774741,"[16, 35, 10751]",16.91
11867,"[878, 28, 12]",16.908
1389540,"[18, 27]",16.906
12187,"[14, 35, 10749]",16.905
932430,"[10749, 35]",16.904
534179,[10749],16.9
171,"[35, 10749, 18]",16.9
13051,"[80, 28, 18, 53]",16.899
843843,"[53, 18, 12]",16.898
1152511,[18],16.896
862965,"[80, 18, 53]",16.892
34065,"[10751, 12, 16, 14]",16.892
60309,"[80, 18, 36]",16.89
16440,"[16, 27, 28]",16.888
20223,[35],16.887
32847,"[10749, 18]",16.886
19929,[99],16.886
2137,"[14, 28, 12]",16.884
15250,"[35, 18, 10749]",25.644
87818,[35],25.636
8337,"[878, 28]",25.628
13654,"[10751, 16, 12, 35]",25.627
50348,"[80, 18, 53]",25.618
335360,"[10751, 16, 12, 14]",25.603
934194,"[878, 28, 53, 27]",25.601
10428,"[28, 80, 53, 18]",25.597
865921,[28],25.593
20334,"[35, 18, 10749]",25.593
472221,"[18, 12]",25.59
17165,"[28, 16, 14, 18]",25.584
1120368,"[37, 18]",25.582
967582,[35],25.581
2118,"[80, 9648, 53]",25.579
829280,"[12, 9648, 80]",25.562
574451,"[18, 10749]",25.562
852436,"[53, 9648]",25.556
745391,"[10749, 35, 18]",25.547
20533,"[28, 37, 18, 14, 53]",25.544
15314,"[35, 80, 18]",17.869
19997,"[53, 80]",17.868
14506,"[14, 12, 35]",17.868
71689,"[16, 35, 10751, 10770, 878, 12, 28]",17.866
10843,"[35, 53, 18]",17.865
201,"[878, 28, 12, 53]",17.864
192577,"[16, 878]",17.862
16140,"[14, 53, 9648]",17.862
1387514,"[18, 10751, 14, 10402]",17.861
356296,"[80, 18, 53]",17.859
2335,"[28, 35]",17.858
1138371,[36],17.852
2142,"[80, 18, 53]",17.849
359483,[18],17.848
12177,"[35, 10749]",17.848
843906,"[16, 35, 9648, 10751, 14, 12, 27]",17.847
1160003,"[27, 9648, 53]",17.845
437109,"[28, 80, 18, 53]",17.845
451480,"[10749, 18, 36]",17.843
530442,"[18, 53, 10770]",17.842
532444,"[10749, 18]",16.097
1977,"[9648, 27, 53]",22.533
9494,"[35, 10749]",16.094
548537,"[18, 10749, 10770]",16.092
11705,"[18, 53]",16.092
831405,"[16, 878, 14, 28]",16.091
26845,"[28, 12]",16.091
18500,"[10751, 35]",16.091
11364,"[10749, 18]",16.09
181656,"[16, 18, 36, 27]",16.089
79113,"[35, 10751, 10770, 10749, 18]",16.085
583268,"[18, 10749, 35]",16.083
9208,"[28, 12, 53]",16.083
39148,"[16, 12, 14]",16.082
12110,"[35, 27]",16.082
8054,"[12, 14, 9648]",16.081
1941,"[18, 10752]",22.513
1010730,"[10770, 10749, 35]",16.076
338768,"[35, 18]",16.075
626393,"[10751, 28]",16.074
14873,"[10751, 16, 12]",26.326
4543,[35],26.324
83091,"[28, 16, 14]",26.32
452,"[35, 18]",26.32
82386,"[16, 35]",26.316
9003,"[27, 53, 14]",26.315
682507,"[18, 9648, 10749]",26.313
12106,"[37, 28]",26.311
813477,"[28, 18, 878, 12, 14]",26.309
419743,"[18, 10749]",26.308
127533,"[12, 28, 14, 10752, 36]",26.308
8469,[35],26.307
736526,"[14, 28, 12]",26.302
782,"[53, 878, 9648, 10749]",26.29
2655,"[18, 27, 9648, 53]",26.276
290512,"[18, 12, 10749]",26.273
7445,"[18, 53, 10752]",26.268
631947,"[27, 53]",26.267
15283,"[12, 16, 14]",26.267
1024773,"[27, 9648]",26.255
547012,"[35, 18]",24.284
37412,[37],24.279
5491,"[878, 28, 12]",24.277
373879,"[28, 16, 12, 35, 14]",24.272
1280468,[18],24.27
4593,[35],24.27
605116,"[28, 80, 878]",24.263
437033,[35],24.262
16127,"[10402, 35, 14]",24.26
381283,"[18, 27, 53]",24.259
1213742,"[18, 53]",24.257
1139979,"[16, 35]",24.256
74078,[18],24.256
10947,"[35, 18, 10751, 10402, 10749, 10770]",24.245
369885,"[28, 18, 10752, 10749, 53]",24.241
11460,"[53, 9648]",24.238
192102,"[28, 18, 53]",24.237
169881,"[12, 18, 36]",24.236
2310,"[12, 28, 16]",24.226
283984,"[28, 16, 18, 14, 10749]",24.224
179826,"[9648, 53]",23.629
239523,"[12, 16, 28, 14]",23.628
363126,"[9648, 18, 27]",23.626
79082,"[16, 12]",23.626
354861,[35],23.625
11979,"[14, 27, 10749]",23.622
1068452,"[18, 10751, 10749]",23.618
558915,[18],23.617
802119,"[35, 18, 10749]",23.611
957,"[35, 878]",23.611
451997,"[28, 80, 9648]",23.608
284276,[18],23.605
292777,"[9648, 53, 18]",23.604
49517,"[18, 53, 9648]",23.593
16985,[35],23.588
87516,"[18, 53, 9648, 28]",23.586
627463,[18],23.578
48138,"[28, 9648, 53]",23.578
1385318,"[35, 18]",23.573
528549,[10749],23.571
9906,"[14, 12, 16, 35, 10751]",26.149
48340,"[28, 53]",26.142
1181212,"[35, 53, 9648]",26.136
9804,"[12, 28, 878]",26.135
1135727,[18],26.134
4638,"[80, 28, 35]",26.13
10781,[27],26.129
463461,"[36, 10749]",26.127
388399,"[28, 80, 18, 36, 53]",26.121
153726,"[35, 80]",26.11
1969,"[28, 35, 37, 80]",26.11
3683,"[10752, 18, 36]",26.108
563,"[12, 28, 53, 878]",26.104
168,"[878, 12]",26.095
2300,"[10751, 16, 35, 878, 12, 14]",26.093
46146,"[14, 27]",26.086
484247,"[80, 53, 35]",26.071
48515,"[80, 18]",26.07
10590,"[28, 36, 10752]",26.069
347375,"[28, 53]",26.067
17941,"[18, 53]",16.444
191820,[18],16.443
681019,"[35, 27]",16.441
382322,"[28, 16, 80, 18]",16.441
12180,"[16, 28, 878, 12]",16.441
1630,[18],16.44
23169,"[18, 10749]",16.438
809107,"[14, 35, 10751, 10770]",16.437
3685,"[37, 12]",16.437
551298,"[10402, 10770, 14]",16.435
50268,[18],16.435
18355,"[53, 28, 80]",16.435
977223,"[35, 28, 18]",16.433
567748,"[18, 53]",16.432
13466,"[18, 10751]",16.432
10725,"[27, 53]",16.432
9563,[18],16.429
71325,"[10749, 18]",16.421
10349,"[9648, 27]",16.42
891636,[18],16.419
105864,"[12, 16, 10751]",60.733
249397,"[18, 9648]",63.102
520763,"[878, 53, 27]",60.64
161,"[53, 80]",61.087
335787,"[28, 12]",60.562
158015,"[878, 27, 53]",60.53
28178,"[18, 10751]",66.307
1288575,"[18, 10751]",54.661
82690,"[10751, 16, 35, 12]",60.331
801335,"[53, 80, 10770]",60.235
32657,"[12, 14, 10751]",59.287
184345,"[35, 27]",60.193
49046,"[18, 10752, 28]",65.535
1885,"[28, 18, 10751]",62.761
950,"[16, 10751, 35, 12]",69.006
10607,"[35, 80]",74.254
711978,[10749],59.997
635910,"[27, 53, 14]",59.979
44833,"[53, 28, 12, 878]",83.944
257344,"[28, 35, 878]",58.432
1891,"[12, 28, 878]",54.346
19908,"[35, 27]",54.324
2758,"[35, 10751, 14]",54.274
2667,"[27, 9648]",54.263
1142780,"[10749, 35, 10770]",54.235
137113,"[28, 878]",54.213
556694,"[18, 14, 10749]",54.205
1146165,[18],54.195
579974,"[18, 28]",54.187
855,"[28, 10752, 36]",54.121
1631,[18],54.116
18823,"[12, 14, 28]",54.112
172385,"[16, 12, 35, 10751]",54.108
845111,"[12, 28, 18]",54.092
1366,[18],54.072
63,"[878, 53, 9648]",54.068
28,"[18, 10752]",54.032
37135,"[10751, 12, 16, 18]",54.016
37169,[27],54.009
23823,"[27, 53]",53.981
921711,"[35, 53]",28.361
763285,"[53, 28, 80]",28.356
501170,"[27, 53, 14]",28.356
817,"[12, 35, 80, 878]",28.344
1683,[27],28.338
760161,"[27, 53]",28.336
97020,"[878, 28, 80]",28.325
635,"[27, 9648]",28.324
235271,"[18, 53]",28.322
123553,"[14, 28, 9648]",28.316
172,"[878, 28, 12, 53]",28.313
646207,"[28, 53]",28.311
497828,"[35, 18]",28.298
347200,"[28, 16]",28.295
1032948,"[27, 53]",28.28
4032,"[35, 18]",28.278
25237,"[18, 10752]",28.271
952079,[10749],28.265
622855,"[10751, 14, 10402]",28.252
22971,"[18, 10749, 10752]",28.251
1073087,[35],17.504
179538,"[35, 27]",17.504
623195,"[10749, 35]",17.502
25642,"[12, 28]",17.502
9346,"[10749, 35, 18]",17.502
619278,"[28, 80, 53]",17.5
26877,"[28, 80, 53]",17.5
157544,"[53, 27]",17.499
199928,"[80, 18, 9648]",17.498
82990,[27],17.498
414419,"[28, 80, 53]",17.497
445030,"[12, 16, 18, 14, 10749]",17.495
355193,"[53, 27, 878]",17.494
34376,"[14, 35, 878, 10749]",17.494
10276,[35],17.493
77805,[18],17.492
11450,"[36, 18, 9648]",17.492
11356,[35],17.49
1119744,[18],17.488
27932,"[18, 53, 28]",17.488
293768,"[18, 53]",15.821
1153428,[99],15.82
6309,"[18, 28, 53]",15.819
595867,"[35, 18]",15.817
829799,"[28, 80, 53]",15.816
18276,"[10751, 12]",15.814
363579,"[28, 53]",15.813
9421,[35],15.813
11812,"[10749, 35]",15.812
367206,[28],15.811
20481,"[27, 14, 28]",15.811
19164,"[12, 16, 35, 10751]",15.811
232391,[18],15.808
21506,"[27, 9648, 53]",15.806
327833,"[53, 28, 18]",15.803
705559,[18],15.802
17234,"[16, 35, 10749]",15.801
16138,"[28, 36, 27]",15.8
62367,"[35, 18]",15.799
57718,"[16, 28, 35, 10751]",15.799
698687,"[16, 878, 12, 10751]",711.909
791042,"[28, 878, 53]",685.567
519182,"[16, 10751, 35, 28]",664.622
995803,"[28, 878, 53, 35, 27]",652.129
592983,"[16, 14, 10751, 12, 35]",633.274
1326059,"[28, 80, 18]",617.734
1252309,"[10749, 18]",577.087
1252470,"[53, 80, 9648, 28]",558.722
1124641,"[28, 53]",532.866
1165466,"[27, 53, 28]",529.944
1084863,"[53, 27, 80, 9648]",511.226
1108427,"[12, 35, 10751, 14]",507.059
1029235,"[28, 27, 53]",505.572
1097870,"[35, 14, 27]",500.499
1010581,"[10749, 18]",486.472
1051896,"[28, 27, 53, 878]",472.002
1106739,"[80, 18]",460.312
1196470,"[53, 12, 28, 878]",443.195
1100099,"[10749, 18]",414.357
539972,"[28, 12, 53]",401.353
370172,"[28, 53, 12]",71.204
968051,[27],71.201
281338,"[18, 878, 10752]",71.191
1955,"[18, 36]",71.191
1187364,[35],71.182
1331344,[27],71.166
953,"[10751, 16, 12, 35]",71.139
489,[18],71.012
10144,"[16, 10751, 14]",70.864
108450,"[53, 18, 10749]",70.831
16219,"[28, 18]",70.804
899112,"[35, 28]",70.766
1225377,"[27, 53]",70.764
5741,[18],70.723
545611,"[28, 12, 878]",70.713
1051891,"[28, 35, 12]",70.659
273481,"[28, 80, 53]",70.63
118249,"[16, 10402, 27, 35]",70.541
343611,"[28, 53]",70.51
630586,"[27, 53]",70.456
1136736,"[18, 10749]",17.774
14126,"[27, 53]",17.774
548754,"[53, 80]",17.771
1232943,"[35, 10749]",17.769
359245,"[53, 27]",17.769
30675,"[878, 16, 28, 14]",17.769
1188258,"[10749, 18]",17.765
